[[0. 0. 0. 0. 0. 0.]]
[[ 2.14988997e-04  1.06281524e-03 -9.26193287e-03 -1.36245880e-04
  -3.16379434e-04  5.12261056e-05]]
[[-1.72273195e-03 -1.65508721e-04 -1.02353028e-02  1.50504609e-04
  -3.32418351e-04  6.90753417e-05]]
[[-9.35000504e-04  3.66006723e-04 -8.00449443e-03  1.95894896e-04
  -4.42283206e-04  6.87295808e-05]]
[[-0.00035466  0.00054993 -0.00908289  0.00015398 -0.00033875  0.00017404]]
[[ 1.06251107e-03  1.90278956e-03 -8.60370659e-03  5.17002607e-05
  -3.82758282e-04  1.47540438e-04]]
[[ 2.76679625e-06  1.66161591e-03 -8.25610876e-03  4.56433162e-04
  -3.63465029e-04  7.59140416e-05]]
[[-1.43701414e-03  5.72931208e-04 -9.54522452e-03  3.01824590e-04
  -4.31446313e-04  4.71168318e-05]]
[[-3.13613695e-04  9.60063045e-04 -1.08370372e-02  2.27010988e-04
  -3.30846526e-04  1.62968642e-05]]
[[-9.67466960e-04 -1.59063741e-03 -1.16489022e-02  1.26757925e-04
  -3.26060555e-04 -1.39979704e-05]]
[[-0.2085531   0.0522945   0.07262608  0.02607302  0.1486105   0.00446562]]
[[-0.20776857  0.04988337  0.07355012  0.02566284  0.14867758  0.00448465]]
[[-0.20758312  0.05263101  0.07536781  0.02604361  0.14858504  0.00448237]]
[[-0.2070142   0.05515825  0.07731391  0.02626521  0.14828163  0.00442569]]
[[-0.20662364  0.05534891  0.07955939  0.02596978  0.14847644  0.00449971]]
[[-0.20776984  0.0560252   0.08229305  0.02568178  0.14848663  0.00445478]]
[[-0.20733911  0.05780887  0.08417058  0.02595011  0.14845532  0.0045013 ]]
[[-0.20672487  0.05962212  0.0851901   0.02628661  0.14826702  0.0044737 ]]
[[-0.20684233  0.05924085  0.0876128   0.02600363  0.14842574  0.00453276]]
[[-0.20505181  0.05866728  0.0883607   0.02573425  0.14845107  0.00457387]]
[[-0.20494047  0.06028988  0.08907093  0.02607314  0.14843442  0.00445369]]
[[-0.2067893   0.06134328  0.09103663  0.02637223  0.14821331  0.00444778]]
[[-0.20585721  0.06041255  0.09250234  0.02614234  0.14839593  0.00447432]]
[[-0.20580049  0.05885735  0.09246153  0.02588016  0.14841814  0.0045663 ]]
[[-0.20735391  0.05820662  0.09434231  0.02636267  0.14815946  0.00453703]]
[[-0.20746763  0.06109492  0.09628344  0.02647173  0.14809115  0.00442701]]
[[-0.20834371  0.05973407  0.09684806  0.02596576  0.1481999   0.00443952]]
[[-0.20884843  0.06035613  0.09708904  0.0259617   0.1483063   0.00449231]]
[[-0.21001306  0.06149643  0.09646076  0.0263576   0.14794435  0.00439151]]
[[-0.21189223  0.06215373  0.09749348  0.02650636  0.14800284  0.00439306]]
[[-0.21177014  0.0624432   0.09700464  0.02607497  0.1482221   0.00446205]]
[[-0.2130705   0.06310045  0.09665412  0.02606085  0.1482471   0.004461  ]]
[[-0.21339006  0.06391086  0.0982628   0.02635829  0.148144    0.00447881]]
[[-0.21136513  0.06339373  0.09940239  0.02649405  0.14814302  0.00452942]]
[[-0.21232076  0.06226738  0.10024518  0.02614154  0.14839406  0.00455786]]
[[-0.21154893  0.06472396  0.10157684  0.02631309  0.14823526  0.0045672 ]]
[[-0.20921787  0.06739561  0.10151507  0.02661263  0.14824779  0.00456445]]
[[-0.20835751  0.06768053  0.10428907  0.02645757  0.14837872  0.00456905]]
[[-0.20864275  0.06828204  0.10555421  0.02625043  0.14849638  0.00458852]]
[[-0.20834764  0.0669921   0.10496461  0.02654505  0.14846934  0.00451944]]
[[-0.20777266  0.06757406  0.10643867  0.0267893   0.14828765  0.00451162]]
[[-0.20760993  0.06835381  0.10921099  0.02667888  0.14849077  0.00450395]]
[[-0.20788705  0.06819302  0.11046259  0.02659258  0.1486123   0.00449944]]
[[-0.2083052   0.06892093  0.11439159  0.02654707  0.14850642  0.00445209]]
[[-0.20714695  0.06897634  0.11622896  0.02693267  0.14842396  0.00439813]]
[[-0.20735935  0.0701781   0.11848017  0.02674691  0.14838294  0.00443057]]
[[-0.2078068   0.07023271  0.1212222   0.02663073  0.14856464  0.00450867]]
[[-0.20585477  0.07089134  0.12389558  0.0268359   0.14842214  0.00446493]]
